level,group,method,method_label,metric,registered_n,failure_n,finite_n,median,p95,max,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D35,LC01,LC01,horizontal_rmse_m,9,0,9,0.09831979065322156,0.09861995689906491,0.09869121333870796,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071574809321569e-14,""up_max_m"":1.3627987627273797e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D35,LC01,LC01,up_rmse_m,9,0,9,0.050670335158112804,0.0506730229585496,0.05067393635597692,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071574809321569e-14,""up_max_m"":1.3627987627273797e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D35,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D35,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D35,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D32,LC01,LC01,yaw_rmse_deg,9,0,9,3.0732372905937844,3.168793004162495,3.212720389625069,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.0386750595755526e-14,""up_max_m"":1.3489209749195652e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D32,LC01,LC01,horizontal_rmse_m,9,0,9,0.09760637074139927,0.09781536588033561,0.09782793965409108,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.0386750595755526e-14,""up_max_m"":1.3489209749195652e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D32,LC01,LC01,up_rmse_m,9,0,9,0.05066493504690247,0.05066553077395214,0.05066558455383606,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.0386750595755526e-14,""up_max_m"":1.3489209749195652e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D32,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D32,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D32,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":2.943783111453509e-14,""up_max_m"":1.2934098236883074e-14,""yaw_max_deg"":4.092726157978177e-12}"
