slot_id,version,role,axis,maximum,time_s,index_zero_based,matched_epoch_count,east_difference_m,evaluator_horizontal_error_m,evaluator_up_error_m,evaluator_yaw_error_deg,horizontal_magnitude_difference_m,horizontal_vector_discrepancy_m,north_difference_m,observer_horizontal_error_m,observer_up_error_m,observer_yaw_error_deg,up_difference_m,yaw_difference_deg
BY2__LC01-BR__LIT__D62_10s_seed_06__seed_06__v2,v2,FULL,up,1.4210854715202004e-14,260.665064573288,40625,58014,4.218847493575595e-15,12.18851257146279,-11.003820732948428,-1.3264041017250747,-8.881784197001252e-15,9.832841130423611e-15,8.881784197001252e-15,12.18851257146278,-11.003820732948414,-1.3264041017250747,1.4210854715202004e-14,0.0
BY2__LC01-BR__LIT__D62_10s_seed_06__seed_06__v2,v2,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,3.594347042223944e-15,0.219606173848739,-0.3421889987702933,-6.353409995351456,-3.552713678800501e-15,4.5075473524192756e-15,2.7200464103316335e-15,0.21960617384873546,-0.3421889987702936,-6.353409995347363,-2.7755575615628914e-16,4.092726157978177e-12
BY2__LC01__LIT__D62_10s_seed_07__seed_07__v3,v3,FULL,horizontal,2.852900207884354e-14,175.13105988502502,23946,58014,-2.8514517136368767e-14,0.0424661448733734,0.0141752541493334,-0.4595995938993837,-3.497202527569243e-15,2.852900207884354e-14,-9.08995101411847e-16,0.0424661448733699,0.014175254149331771,-0.45959959389938376,-1.6289053439422219e-15,0.0
BY2__LC01__LIT__D62_10s_seed_07__seed_07__v3,v3,FULL,up,1.4210854715202004e-14,251.03306078910828,38395,58014,-7.105427357601002e-15,9.771766452101364,-11.178873735224691,-1.4531586616926404,-1.4210854715202004e-14,1.432144669219779e-14,1.2434497875801753e-14,9.77176645210135,-11.178873735224705,-1.4531586616926404,-1.4210854715202004e-14,0.0
BY2__LC01__LIT__D62_10s_seed_07__seed_07__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,5.329070518200751e-15,8.20203086655609,-9.57317308851846,-5.293808742196404,0.0,5.617333549722722e-15,1.7763568394002505e-15,8.20203086655609,-9.573173088518459,-5.2938087421923115,1.7763568394002505e-15,4.092726157978177e-12
BY2__LC01__LIT__D62_10s_seed_07__seed_07__v2,v2,FULL,horizontal,2.89217787547498e-14,212.26440000534052,31097,58014,2.861242059254421e-14,0.1590089710283832,-0.3793683621199015,-1.2823594408312715,-4.3298697960381105e-15,2.89217787547498e-14,4.218847493575595e-15,0.15900897102837888,-0.3793683621199033,-1.28235944083184,-1.8318679906315083e-15,-5.684341886080801e-13
BY2__LC01__LIT__D62_10s_seed_07__seed_07__v2,v2,FULL,up,1.2490009027033011e-14,184.80306696891785,25801,58014,-4.801714581503802e-15,0.1543094247865895,-0.3050500903904236,-3.198224424686913,4.9404924595819466e-15,5.134350134124977e-15,-1.817990202823694e-15,0.15430942478659443,-0.30505009039043607,-3.198224424686913,-1.2490009027033011e-14,0.0
BY2__LC01__LIT__D62_10s_seed_07__seed_07__v2,v2,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,0.0,8.318747931960162,-9.862264578664616,-5.293808742196404,-3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,8.318747931960159,-9.862264578664615,-5.2938087421923115,1.7763568394002505e-15,4.092726157978177e-12
BY2__EXT05C__LIT__D62_10s_seed_07__seed_07__v3,v3,FULL,horizontal,2.943783111453509e-14,192.08704900741577,27260,58014,2.943478794037446e-14,0.0467288488479788,-0.0769550790582851,-14.70624190313427,-1.2052858711086856e-14,2.943783111453509e-14,-4.2327252813834093e-16,0.04672884884796675,-0.07695507905828167,-14.70624190313427,3.427813588530171e-15,0.0
BY2__EXT05C__LIT__D62_10s_seed_07__seed_07__v3,v3,FULL,up,1.2934098236883074e-14,186.1130678653717,26052,58014,-1.0107366332778867e-14,0.026345210315915,-0.0893739575402161,-15.262121288855552,-1.6965595595053173e-15,1.0143045836467996e-14,8.500145032286355e-16,0.026345210315913303,-0.08937395754020316,-15.262121288855553,1.2934098236883074e-14,0.0
