comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_state,reference_state,candidate_value,reference_value,delta_candidate_minus_reference,pair_status,candidate_algorithm_failure,reference_algorithm_failure,duration_s,sign,evaluator_version,source_table,source_table_row,source_sha256
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_06,D61,A1,seed_06,SUCCESS,SUCCESS,309.5500581087826,342.0289002433766,-32.478842134594004,FINITE_WIN,False,False,30,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,51,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_07,D61,A1,seed_07,SUCCESS,SUCCESS,124.91352063942047,158.79381613676333,-33.88029549734286,FINITE_WIN,False,False,30,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,52,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_07,D61,A1,seed_07,SUCCESS,SUCCESS,278.29982726017124,342.526173718007,-64.22634645783575,FINITE_WIN,False,False,30,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,53,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,fault_window_horizontal_rmse_m,D61_30s_seed_08,D61,A1,seed_08,SUCCESS,SUCCESS,25.596534062485034,39.3758982875367,-13.779364225051665,FINITE_WIN,False,False,30,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,54,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_Go2,F04,A07,outage_end_horizontal_error_m,D61_30s_seed_08,D61,A1,seed_08,SUCCESS,SUCCESS,65.47978217496883,101.89305252825602,-36.41327035328719,FINITE_WIN,False,False,30,BENEFIT,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,55,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_RP,F04,A05,fault_window_horizontal_rmse_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,12.791583855927126,12.08282138946551,0.7087624664616161,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,56,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_RP,F04,A05,outage_end_horizontal_error_m,D61_10s_seed_00,D61,A1,seed_00,SUCCESS,SUCCESS,28.90162699006463,27.113858464460435,1.7877685256041964,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,57,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_RP,F04,A05,fault_window_horizontal_rmse_m,D61_10s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,4.280957944950035,3.8279847400946867,0.45297320485534787,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,58,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_RP,F04,A05,outage_end_horizontal_error_m,D61_10s_seed_01,D61,A1,seed_01,SUCCESS,SUCCESS,8.708284429784639,7.732066899556677,0.9762175302279621,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,59,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
full_vs_no_RP,F04,A05,fault_window_horizontal_rmse_m,D61_10s_seed_02,D61,A1,seed_02,SUCCESS,SUCCESS,8.981761076107095,7.803407402225985,1.1783536738811096,FINITE_LOSS,False,False,10,HARM,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H3_SEED_SIGNS.csv,60,c1305d32a5758f1d439e6ce77565c3d7e93dca59634e46f252e65f297c3651e1
