dataset_id,case_family,degradation_type_id,method_id,terminal_status,run_count
BY2,multi_source_mixed,D58,A08,NOT_STARTED,9
BY2,multi_source_mixed,D58,A09,NOT_STARTED,9
BY2,multi_source_mixed,D58,F01,NOT_STARTED,9
BY2,multi_source_mixed,D58,F02,NOT_STARTED,9
BY2,multi_source_mixed,D58,F03,NOT_STARTED,9
BY2,multi_source_mixed,D58,F04,NOT_STARTED,9
BY2,multi_source_mixed,D59,A03,NOT_STARTED,9
BY2,multi_source_mixed,D59,A04,NOT_STARTED,9
BY2,multi_source_mixed,D59,A05,NOT_STARTED,9
BY2,multi_source_mixed,D59,A06,NOT_STARTED,9
BY2,multi_source_mixed,D59,A07,NOT_STARTED,9
BY2,multi_source_mixed,D59,A08,NOT_STARTED,9
BY2,multi_source_mixed,D59,A09,NOT_STARTED,9
BY2,multi_source_mixed,D59,F01,NOT_STARTED,9
BY2,multi_source_mixed,D59,F02,NOT_STARTED,9
BY2,multi_source_mixed,D59,F03,NOT_STARTED,9
BY2,multi_source_mixed,D59,F04,NOT_STARTED,9
BY2,multi_source_mixed,D60,A03,NOT_STARTED,9
BY2,multi_source_mixed,D60,A04,NOT_STARTED,9
BY2,multi_source_mixed,D60,A05,NOT_STARTED,9
BY2,multi_source_mixed,D60,A06,NOT_STARTED,9
BY2,multi_source_mixed,D60,A07,NOT_STARTED,9
BY2,multi_source_mixed,D60,A08,NOT_STARTED,9
BY2,multi_source_mixed,D60,A09,NOT_STARTED,9
BY2,multi_source_mixed,D60,F01,NOT_STARTED,9
BY2,multi_source_mixed,D60,F02,NOT_STARTED,9
BY2,multi_source_mixed,D60,F03,NOT_STARTED,9
BY2,multi_source_mixed,D60,F04,NOT_STARTED,9
BY2,position_std_status,D23,A03,NOT_STARTED,9
BY2,position_std_status,D23,A04,NOT_STARTED,9
BY2,position_std_status,D23,A05,NOT_STARTED,9
BY2,position_std_status,D23,A06,NOT_STARTED,9
BY2,position_std_status,D23,A07,NOT_STARTED,9
BY2,position_std_status,D23,A08,NOT_STARTED,9
BY2,position_std_status,D23,A09,NOT_STARTED,9
BY2,position_std_status,D23,F01,NOT_STARTED,9
BY2,position_std_status,D23,F02,NOT_STARTED,9
BY2,position_std_status,D23,F03,NOT_STARTED,9
BY2,position_std_status,D23,F04,NOT_STARTED,9
BY2,position_std_status,D24,A03,NOT_STARTED,9
BY2,position_std_status,D24,A04,NOT_STARTED,9
BY2,position_std_status,D24,A05,NOT_STARTED,9
BY2,position_std_status,D24,A06,NOT_STARTED,9
BY2,position_std_status,D24,A07,NOT_STARTED,9
BY2,position_std_status,D24,A08,NOT_STARTED,9
BY2,position_std_status,D24,A09,NOT_STARTED,9
BY2,position_std_status,D24,F01,NOT_STARTED,9
BY2,position_std_status,D24,F02,NOT_STARTED,9
BY2,position_std_status,D24,F03,NOT_STARTED,9
BY2,position_std_status,D24,F04,NOT_STARTED,9
BY2,position_std_status,D25,A03,NOT_STARTED,9
BY2,position_std_status,D25,A04,NOT_STARTED,9
BY2,position_std_status,D25,A05,NOT_STARTED,9
BY2,position_std_status,D25,A06,NOT_STARTED,9
BY2,position_std_status,D25,A07,NOT_STARTED,9
BY2,position_std_status,D25,A08,NOT_STARTED,9
BY2,position_std_status,D25,A09,NOT_STARTED,9
BY2,position_std_status,D25,F01,NOT_STARTED,9
BY2,position_std_status,D25,F02,NOT_STARTED,9
BY2,position_std_status,D25,F03,NOT_STARTED,9
BY2,position_std_status,D25,F04,NOT_STARTED,9
BY2,position_std_status,D26,A03,NOT_STARTED,9
BY2,position_std_status,D26,A04,NOT_STARTED,9
BY2,position_std_status,D26,A05,NOT_STARTED,9
BY2,position_std_status,D26,A06,NOT_STARTED,9
BY2,position_std_status,D26,A07,NOT_STARTED,9
BY2,position_std_status,D26,A08,NOT_STARTED,9
BY2,position_std_status,D26,A09,NOT_STARTED,9
BY2,position_std_status,D26,F01,NOT_STARTED,9
BY2,position_std_status,D26,F02,NOT_STARTED,9
BY2,position_std_status,D26,F03,NOT_STARTED,9
BY2,position_std_status,D26,F04,NOT_STARTED,9
BY2,position_std_status,D27,A03,NOT_STARTED,9
BY2,position_std_status,D27,A04,NOT_STARTED,9
BY2,position_std_status,D27,A05,NOT_STARTED,9
BY2,position_std_status,D27,A06,NOT_STARTED,9
BY2,position_std_status,D27,A07,NOT_STARTED,9
BY2,position_std_status,D27,A08,NOT_STARTED,9
BY2,position_std_status,D27,A09,NOT_STARTED,9
BY2,position_std_status,D27,F01,NOT_STARTED,9
BY2,position_std_status,D27,F02,NOT_STARTED,9
BY2,position_std_status,D27,F03,NOT_STARTED,9
BY2,position_std_status,D27,F04,NOT_STARTED,9
BY2,position_std_status,D28,A03,NOT_STARTED,9
BY2,position_std_status,D28,A04,NOT_STARTED,9
BY2,position_std_status,D28,A05,NOT_STARTED,9
BY2,position_std_status,D28,A06,NOT_STARTED,9
BY2,position_std_status,D28,A07,NOT_STARTED,9
BY2,position_std_status,D28,A08,NOT_STARTED,9
BY2,position_std_status,D28,A09,NOT_STARTED,9
BY2,position_std_status,D28,F01,NOT_STARTED,9
BY2,position_std_status,D28,F02,NOT_STARTED,9
BY2,position_std_status,D28,F03,NOT_STARTED,9
BY2,position_std_status,D28,F04,NOT_STARTED,9
BY2,position_std_status,D29,A03,NOT_STARTED,9
BY2,position_std_status,D29,A04,NOT_STARTED,9
BY2,position_std_status,D29,A05,NOT_STARTED,9
BY2,position_std_status,D29,A06,NOT_STARTED,9
BY2,position_std_status,D29,A07,NOT_STARTED,9
BY2,position_std_status,D29,A08,NOT_STARTED,9
BY2,position_std_status,D29,A09,NOT_STARTED,9
BY2,position_std_status,D29,F01,NOT_STARTED,9
BY2,position_std_status,D29,F02,NOT_STARTED,9
BY2,position_std_status,D29,F03,NOT_STARTED,9
BY2,position_std_status,D29,F04,NOT_STARTED,9
BY2,position_value,D13,A03,NOT_STARTED,9
BY2,position_value,D13,A04,NOT_STARTED,9
BY2,position_value,D13,A05,NOT_STARTED,9
BY2,position_value,D13,A06,NOT_STARTED,9
BY2,position_value,D13,A07,NOT_STARTED,9
BY2,position_value,D13,A08,NOT_STARTED,9
BY2,position_value,D13,A09,NOT_STARTED,9
BY2,position_value,D13,F01,NOT_STARTED,9
BY2,position_value,D13,F02,NOT_STARTED,9
BY2,position_value,D13,F03,NOT_STARTED,9
BY2,position_value,D13,F04,NOT_STARTED,9
BY2,position_value,D14,A03,NOT_STARTED,9
BY2,position_value,D14,A04,NOT_STARTED,9
BY2,position_value,D14,A05,NOT_STARTED,9
BY2,position_value,D14,A06,NOT_STARTED,9
BY2,position_value,D14,A07,NOT_STARTED,9
BY2,position_value,D14,A08,NOT_STARTED,9
BY2,position_value,D14,A09,NOT_STARTED,9
BY2,position_value,D14,F01,NOT_STARTED,9
BY2,position_value,D14,F02,NOT_STARTED,9
BY2,position_value,D14,F03,NOT_STARTED,9
BY2,position_value,D14,F04,NOT_STARTED,9
BY2,position_value,D15,A03,NOT_STARTED,9
BY2,position_value,D15,A04,NOT_STARTED,9
BY2,position_value,D15,A05,NOT_STARTED,9
BY2,position_value,D15,A06,NOT_STARTED,9
