evaluator,case_id,frozen_status,frozen_terminal,frozen_yaw_rmse_deg,frozen_h_rmse_m,R5_status,R5_failure_classification,R5_yaw_rmse_deg,R5_h_rmse_m,paired_finite,R5_failed_on_frozen_completed
v3,D51_seed_00,COMPLETED,COMPLETED,2.2111642136489404,0.09746741154055051,COMPLETED,NONE,1.8890873024109955,0.09817369727663072,True,False
v3,D52_seed_00,COMPLETED,COMPLETED,2.2680757637829254,0.09700027441271045,COMPLETED,NONE,1.9122829466566345,0.09777385756822685,True,False
v3,D53_seed_00,COMPLETED,COMPLETED,2.21211806817959,0.09935092589643874,COMPLETED,NONE,1.885432097600814,0.1000659618314859,True,False
v3,D54_seed_00,COMPLETED,COMPLETED,2.2248373057136903,0.10608492323536123,COMPLETED,NONE,1.88573428230535,0.10700172177692087,True,False
v3,D55_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.09716199583877864,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,True,False
v3,D56_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.09716199583877864,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,True,False
v3,D57_seed_00,COMPLETED,COMPLETED,1.7870833845921381,0.11503524570990405,NOT_RUN_ALGORITHM_FAILURE,ALGORITHM_FAILURE_NO_VALID_HEADING_INPUT,UNAVAILABLE,UNAVAILABLE,False,True
v3,D58_seed_00,COMPLETED,COMPLETED,2.236257158758738,0.10034579678936346,COMPLETED,NONE,1.885627375361614,0.10110272278443082,True,False
v3,D59_seed_00,COMPLETED,COMPLETED,31.745325621411972,3.5634190852323124,COMPLETED,NONE,2.7034286882599177,3.5568922697247656,True,False
v3,D60_seed_00,COMPLETED,COMPLETED,1.9413335363795345,1.2163819146098238,NOT_RUN_ALGORITHM_FAILURE,ALGORITHM_FAILURE_DIVERGED,UNAVAILABLE,UNAVAILABLE,False,True
v2,C00_clean_normal,COMPLETED,COMPLETED,2.2211070025147257,0.16153428180126697,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,True,False
v2,D01_seed_00,COMPLETED,COMPLETED,2.2204166357290993,0.16160997487897083,COMPLETED,NONE,1.8861127928167332,0.16145937202966315,True,False
v2,D02_seed_00,COMPLETED,COMPLETED,2.220200465755946,0.16118667700541875,COMPLETED,NONE,1.8860605036989933,0.16103452176397698,True,False
v2,D03_seed_00,COMPLETED,COMPLETED,2.2183380534760104,0.16061827163125939,COMPLETED,NONE,1.8856344886911545,0.16046461816937915,True,False
v2,D04_seed_00,COMPLETED,COMPLETED,2.2173333387506164,0.17225323404304382,COMPLETED,NONE,1.8853912064521476,0.17210038734136707,True,False
v2,D05_seed_00,COMPLETED,COMPLETED,2.2147274946785167,0.180865092174569,COMPLETED,NONE,1.8844284840270382,0.16335384171757952,True,False
v2,D06_seed_00,COMPLETED,COMPLETED,2.308625338895833,14.915665607994415,COMPLETED,NONE,1.883240796449286,0.3716867103461818,True,False
v2,D07_seed_00,COMPLETED,COMPLETED,2.2185652948358188,0.16137311671599938,COMPLETED,NONE,1.885690186590178,0.16122300932430284,True,False
v2,D08_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.16153428180126697,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,True,False
v2,D09_seed_00,COMPLETED,COMPLETED,2.074676376121604,0.16545737119536943,COMPLETED,NONE,1.8607254215753188,0.15887696791534747,True,False
v2,D10_seed_00,COMPLETED,COMPLETED,2.044244653984479,0.19097864468920323,COMPLETED,NONE,1.8569424140331232,0.15859143489088376,True,False
v2,D11_seed_00,COMPLETED,COMPLETED,2.1462727898622274,0.16470960505347007,COMPLETED,NONE,1.8798444892728479,0.16440964985038764,True,False
v2,D12_seed_00,COMPLETED,COMPLETED,2.124662303036152,0.18505029528275746,COMPLETED,NONE,1.862994712511913,0.17873847275903643,True,False
v2,D13_seed_00,COMPLETED,COMPLETED,3.2408807972627347,0.648429290395491,COMPLETED,NONE,1.8965145272242077,0.6482304801603405,True,False
v2,D14_seed_00,COMPLETED,COMPLETED,13.894931016105842,1.9079551585231038,COMPLETED,NONE,2.024975433931414,1.9066657549115547,True,False
v2,D15_seed_00,COMPLETED,COMPLETED,31.676174362343506,3.5655834137506983,COMPLETED,NONE,2.698608937739373,3.5625594645190737,True,False
v2,D16_seed_00,COMPLETED,COMPLETED,2.2211084972602064,1.503764698589208,COMPLETED,NONE,1.8862718504523253,1.5038459751382238,True,False
v2,D17_seed_00,COMPLETED,COMPLETED,2.221110356872683,2.998864663047116,COMPLETED,NONE,1.8862723559681154,2.998954217927787,True,False
v2,D18_seed_00,COMPLETED,COMPLETED,2.2210607177481823,1.6908960456109916,COMPLETED,NONE,1.886247638722821,1.6910516519655063,True,False
v2,D19_seed_00,COMPLETED,COMPLETED,2.223332390225631,1.981297251847354,COMPLETED,NONE,1.8861249557685993,1.9813328375262587,True,False
v2,D20_seed_00,COMPLETED,COMPLETED,2.5426206824507402,0.26427001375431675,COMPLETED,NONE,1.9195704538291787,0.2640588749998063,True,False
v2,D21_seed_00,COMPLETED,COMPLETED,2.454305780944727,0.6166776623683055,COMPLETED,NONE,1.8749844866379661,0.6166017453391623,True,False
v2,D22_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.16153428180126697,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,True,False
v2,D23_seed_00,COMPLETED,COMPLETED,2.1901345098700196,0.1605991622443857,COMPLETED,NONE,1.8809781609913947,0.1604581643617329,True,False
v2,D24_seed_00,COMPLETED,COMPLETED,2.174499764160026,0.15881989778598263,COMPLETED,NONE,1.8783643030676467,0.15868285103930138,True,False
v2,D25_seed_00,COMPLETED,COMPLETED,2.168682826614625,0.156287009724464,COMPLETED,NONE,1.8774390283263636,0.15615173437642718,True,False
v2,D26_seed_00,COMPLETED,COMPLETED,3.0860346173569546,0.16325879888767833,COMPLETED,NONE,2.0066411325801776,0.16277028879699865,True,False
v2,D27_seed_00,COMPLETED,COMPLETED,32.472978585312966,4.986925880154395,NOT_RUN_ALGORITHM_FAILURE,ALGORITHM_FAILURE_DIVERGED,UNAVAILABLE,UNAVAILABLE,False,True
v2,D28_seed_00,COMPLETED,COMPLETED,2.168682826614625,0.156287009724464,COMPLETED,NONE,1.8774390283263636,0.15615173437642718,True,False
v2,D29_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.16153428180126697,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,True,False
v2,D30_seed_00,COMPLETED,COMPLETED,2.2690903873893085,0.16160448664778818,COMPLETED,NONE,1.8863078906184692,0.16143725466151174,True,False
v2,D31_seed_00,COMPLETED,COMPLETED,2.3136879613425965,0.16176049864886138,COMPLETED,NONE,1.8864342981744608,0.16157875824030962,True,False
v2,D32_seed_00,COMPLETED,COMPLETED,2.2503022934327497,0.16156244985106025,COMPLETED,NONE,1.8862480981123615,0.16138082890637961,True,False
v2,D33_seed_00,COMPLETED,COMPLETED,2.23438673619606,0.16155624549514966,COMPLETED,NONE,1.886155816451767,0.1613859144721121,True,False
v2,D34_seed_00,COMPLETED,COMPLETED,2.3877192200814346,0.1615525290490084,COMPLETED,NONE,1.8863322942183502,0.16133910312625635,True,False
v2,D35_seed_00,COMPLETED,COMPLETED,2.2383275640772298,0.16153827940279455,COMPLETED,NONE,1.886304336410628,0.16137861226930433,True,False
v2,D36_seed_00,COMPLETED,COMPLETED,2.9010484281710247,0.16191122324008822,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,True,False
v2,D37_seed_00,NOT_RUN_ALGORITHM_FAILURE,ALGORITHM_FAILURE_ALL_YAW_REJECTED,UNAVAILABLE,,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,False,False
v2,D38_seed_00,COMPLETED,COMPLETED,1.6792047156525585,0.16116608835084906,COMPLETED,NONE,1.8860509587338505,0.1614218362947073,True,False
v2,D39_seed_00,COMPLETED,COMPLETED,2.211496621032004,0.16159103784672404,COMPLETED,NONE,1.8862692894317534,0.16143843628261012,True,False
v2,D40_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.16153428180126697,COMPLETED,NONE,1.8862718548526467,0.16138277166675344,True,False
v2,D41_seed_00,COMPLETED,COMPLETED,9.520839911494987,0.16623599056492497,COMPLETED,NONE,1.884872943852771,0.16221114817156898,True,False
v2,D42_seed_00,COMPLETED,COMPLETED,2.210678799237324,0.16176523723632258,COMPLETED,NONE,1.8837694481473208,0.16161666136089678,True,False
v2,D43_seed_00,COMPLETED,COMPLETED,2.1349950629168863,0.16383808512846265,COMPLETED,NONE,1.8738111713293852,0.1637330963674713,True,False
v2,D44_seed_00,COMPLETED,COMPLETED,2.2252505165612093,0.1614311609675411,COMPLETED,NONE,1.8875376279636649,0.16127905338329582,True,False
v2,D45_seed_00,COMPLETED,COMPLETED,2.1890194825007883,0.16833893486253082,COMPLETED,NONE,1.8780217963807857,0.16821974473071402,True,False
v2,D46_seed_00,COMPLETED,COMPLETED,2.222149009454408,0.16159511298373624,COMPLETED,NONE,1.8864704958957232,0.16144351479108,True,False
v2,D47_seed_00,COMPLETED,COMPLETED,2.205944593164129,0.16147917807965986,COMPLETED,NONE,1.8839406053231493,0.1613352372251499,True,False
v2,D48_seed_00,COMPLETED,COMPLETED,2.221166109461651,0.16153965634610393,COMPLETED,NONE,1.8862905885159398,0.16138808741948982,True,False
